Method,Precision,Recall,F1
Z-score,0.0781758957654723,0.03208556149732621,0.04549763033175355
Percentile,0.0718954248366013,0.04411764705882353,0.05468102734051367
IsolationForest,0.07058823529411765,0.05614973262032086,0.06254653760238273
